rank,model,cv_roc_auc_mean,cv_roc_auc_std,test_accuracy,test_f1,test_precision,test_recall,test_roc_auc,test_avg_precision,train_time_sec
1,Logistic Regression,0.9957,0.0048,0.9825,0.9861,0.9861,0.9861,0.9954,0.9971,1.71
2,SVM (RBF),0.9957,0.0048,0.9825,0.9861,0.9861,0.9861,0.995,0.9969,0.05
3,Neural Network,0.995,0.0048,0.9649,0.9718,0.9857,0.9583,0.9937,0.9958,0.7
4,Random Forest,0.9894,0.0086,0.9561,0.9655,0.9589,0.9722,0.9932,0.996,1.12
5,XGBoost,0.9924,0.0054,0.9474,0.9589,0.9459,0.9722,0.9927,0.9958,0.68
6,Extra Trees,0.9942,0.0041,0.9561,0.9655,0.9589,0.9722,0.9919,0.995,0.85
7,LightGBM,0.9922,0.0053,0.9561,0.9655,0.9589,0.9722,0.9894,0.993,0.78
8,Gradient Boosting,0.9633,0.0328,0.9474,0.9583,0.9583,0.9583,0.9891,0.9935,3.24
9,Naive Bayes,0.9884,0.0075,0.9298,0.9444,0.9444,0.9444,0.9868,0.9922,0.03
10,K-Nearest Neighbors,0.9879,0.0081,0.9561,0.9655,0.9589,0.9722,0.9788,0.9773,0.07
11,Decision Tree,0.9179,0.0201,0.9123,0.9286,0.9559,0.9028,0.9157,0.9244,0.1
